bulk            dgain 5±11  dreached -0.008±0.011  dwin 0.005±0.006  ddeaths 0.057±0.047  dregulars 0.184±0.103  dsales 1.078±1.344  dmargin 60±75  dfinalRatio -0.005±0.010
rotation        dgain -3±6  dreached 0.005±0.009  dwin -0.001±0.006  ddeaths -0.046±0.026  dregulars -0.080±0.053  dsales -0.702±0.680  dmargin -26±39  dfinalRatio 0.005±0.008
stamp           dgain 40±13  dreached 0.022±0.013  dwin 0.018±0.008  ddeaths 0.049±0.053  dregulars 2.239±0.120  dsales 4.043±1.602  dmargin 359±89  dfinalRatio 0.026±0.012
member          dgain 7±14  dreached 0.008±0.013  dwin 0.011±0.008  ddeaths -0.004±0.061  dregulars 0.068±0.137  dsales 0.974±1.805  dmargin 42±95  dfinalRatio 0.011±0.012
showcase        dgain -33±15  dreached -0.005±0.013  dwin 0.003±0.007  ddeaths -0.310±0.070  dregulars -0.499±0.146  dsales -11.271±2.050  dmargin -562±104  dfinalRatio 0.001±0.012
medicine        dgain -56±15  dreached -0.027±0.013  dwin -0.010±0.007  ddeaths -0.020±0.065  dregulars -0.520±0.140  dsales -11.252±1.978  dmargin -682±101  dfinalRatio -0.027±0.012
hazardBoard     dgain -18±14  dreached 0.007±0.013  dwin 0.002±0.006  ddeaths 0.027±0.062  dregulars 0.209±0.139  dsales -0.403±1.889  dmargin -222±98  dfinalRatio 0.002±0.011
guarantee       dgain 82±15  dreached 0.030±0.014  dwin 0.007±0.008  ddeaths 0.031±0.060  dregulars 1.116±0.146  dsales 12.671±1.913  dmargin 748±101  dfinalRatio 0.026±0.012
fridge          dgain 10±12  dreached 0.017±0.012  dwin 0.012±0.007  ddeaths -0.083±0.058  dregulars 0.220±0.118  dsales 0.404±1.622  dmargin -36±84  dfinalRatio 0.018±0.010
kitchen         dgain 129±14  dreached 0.098±0.014  dwin 0.050±0.009  ddeaths -0.186±0.057  dregulars 1.186±0.133  dsales 15.406±1.705  dmargin 869±90  dfinalRatio 0.096±0.013
rookieBoard     dgain -4±12  dreached 0.002±0.012  dwin 0.022±0.008  ddeaths -0.059±0.055  dregulars -0.058±0.119  dsales -1.151±1.526  dmargin -85±82  dfinalRatio 0.009±0.011
board           dgain 69±14  dreached 0.021±0.013  dwin 0.026±0.008  ddeaths 0.190±0.056  dregulars 0.850±0.131  dsales 13.944±1.816  dmargin 615±98  dfinalRatio 0.028±0.012
groupFlyer      dgain 13±10  dreached 0.004±0.010  dwin 0.010±0.006  ddeaths -0.047±0.045  dregulars 0.182±0.093  dsales 1.443±1.214  dmargin 109±67  dfinalRatio 0.008±0.009
memberBundle    dgain 12±11  dreached -0.001±0.012  dwin 0.015±0.007  ddeaths 0.004±0.045  dregulars 0.118±0.098  dsales 1.223±1.332  dmargin 81±74  dfinalRatio 0.003±0.010
premiumMember   dgain 7±4  dreached 0.004±0.006  dwin 0.004±0.004  ddeaths -0.018±0.015  dregulars 0.042±0.031  dsales 0.640±0.333  dmargin 44±22  dfinalRatio 0.004±0.006
returnPoints    dgain 95±14  dreached 0.038±0.013  dwin 0.020±0.007  ddeaths 0.150±0.053  dregulars 0.894±0.118  dsales 13.822±1.602  dmargin 1053±92  dfinalRatio 0.038±0.012
expeditionMeal  dgain 10±4  dreached 0.012±0.006  dwin 0.008±0.004  ddeaths -0.051±0.015  dregulars 0.075±0.034  dsales 0.889±0.415  dmargin 59±26  dfinalRatio 0.014±0.005
coldcase        dgain -8±15  dreached 0.014±0.013  dwin 0.024±0.008  ddeaths -0.084±0.066  dregulars 0.021±0.146  dsales -2.512±1.952  dmargin -59±103  dfinalRatio 0.022±0.012
supplyCert      dgain 25±12  dreached 0.013±0.012  dwin 0.017±0.007  ddeaths 0.073±0.055  dregulars 0.354±0.117  dsales 4.047±1.513  dmargin 138±83  dfinalRatio 0.018±0.011
dawnBulk        dgain 10±12  dreached 0.008±0.012  dwin 0.014±0.007  ddeaths 0.024±0.048  dregulars 0.199±0.106  dsales 1.394±1.390  dmargin 107±77  dfinalRatio 0.011±0.010
