rotation        dgain -1±5  dreached -0.005±0.007  dwin -0.005±0.005  ddeaths 0.007±0.020  dregulars 0.028±0.036  dsales 0.124±0.446  dmargin -8±29  dfinalRatio -0.005±0.007
bulk            dgain 6±12  dreached 0.006±0.012  dwin 0.003±0.008  ddeaths 0.023±0.050  dregulars -0.029±0.100  dsales 0.576±1.332  dmargin 64±77  dfinalRatio 0.009±0.012
member          dgain 39±16  dreached 0.021±0.015  dwin 0.007±0.011  ddeaths -0.060±0.062  dregulars 0.222±0.141  dsales 4.518±1.910  dmargin 295±108  dfinalRatio 0.026±0.015
stamp           dgain 26±14  dreached -0.004±0.014  dwin -0.018±0.010  ddeaths 0.167±0.055  dregulars 2.206±0.124  dsales 3.244±1.630  dmargin 287±93  dfinalRatio -0.006±0.014
showcase        dgain -2±17  dreached 0.001±0.015  dwin -0.002±0.011  ddeaths -0.114±0.066  dregulars -0.370±0.145  dsales -5.619±2.093  dmargin -361±114  dfinalRatio -0.000±0.015
medicine        dgain 21±16  dreached 0.007±0.014  dwin -0.006±0.010  ddeaths 0.015±0.063  dregulars 0.031±0.144  dsales -0.305±2.016  dmargin -119±110  dfinalRatio 0.003±0.014
hazardBoard     dgain 21±16  dreached 0.013±0.015  dwin -0.014±0.011  ddeaths 0.049±0.063  dregulars 0.425±0.150  dsales 5.188±2.012  dmargin 125±112  dfinalRatio 0.006±0.015
guarantee       dgain 121±16  dreached 0.042±0.016  dwin 0.014±0.011  ddeaths 0.102±0.060  dregulars 0.978±0.144  dsales 16.727±1.904  dmargin 1115±109  dfinalRatio 0.044±0.016
fridge          dgain -1±14  dreached -0.006±0.014  dwin -0.011±0.010  ddeaths 0.093±0.055  dregulars 0.110±0.127  dsales 0.330±1.688  dmargin -12±96  dfinalRatio -0.003±0.014
kitchen         dgain 126±15  dreached 0.076±0.015  dwin 0.037±0.011  ddeaths -0.195±0.061  dregulars 1.098±0.136  dsales 14.889±1.836  dmargin 956±106  dfinalRatio 0.080±0.015
rookieBoard     dgain 9±13  dreached 0.005±0.013  dwin -0.012±0.009  ddeaths 0.018±0.051  dregulars -0.025±0.113  dsales 0.225±1.506  dmargin -48±84  dfinalRatio -0.001±0.013
board           dgain 65±16  dreached 0.018±0.015  dwin 0.021±0.011  ddeaths 0.158±0.059  dregulars 0.572±0.137  dsales 12.112±1.915  dmargin 646±112  dfinalRatio 0.027±0.015
groupFlyer      dgain 8±11  dreached 0.001±0.011  dwin 0.003±0.008  ddeaths 0.053±0.039  dregulars -0.057±0.090  dsales 0.562±1.227  dmargin 83±71  dfinalRatio 0.004±0.011
memberBundle    dgain 11±12  dreached 0.005±0.013  dwin -0.014±0.010  ddeaths 0.012±0.047  dregulars -0.064±0.096  dsales 0.786±1.344  dmargin 80±79  dfinalRatio 0.001±0.013
premiumMember   dgain 7±4  dreached 0.005±0.007  dwin 0.009±0.006  ddeaths 0.010±0.017  dregulars 0.029±0.033  dsales 0.551±0.366  dmargin 42±27  dfinalRatio 0.006±0.007
