rotation        dgain 23±13  dreached 0.020±0.013  dwin 0.006±0.009  ddeaths -0.072±0.065  dregulars -0.343±0.168  dsales -0.357±1.720  dmargin -1±86  dfinalRatio 0.018±0.012
member          dgain 49±14  dreached 0.026±0.014  dwin 0.010±0.009  ddeaths 0.029±0.073  dregulars 0.410±0.189  dsales 6.777±1.978  dmargin 396±97  dfinalRatio 0.025±0.013
stamp           dgain 62±13  dreached 0.011±0.013  dwin 0.000±0.008  ddeaths 0.240±0.064  dregulars 1.840±0.154  dsales 7.602±1.625  dmargin 723±88  dfinalRatio 0.009±0.012
bulk            dgain 124±15  dreached 0.068±0.015  dwin 0.029±0.009  ddeaths 0.064±0.070  dregulars 2.722±0.220  dsales 25.325±2.002  dmargin 1465±103  dfinalRatio 0.067±0.014
showcase        dgain 9±15  dreached -0.005±0.013  dwin -0.002±0.009  ddeaths 0.117±0.069  dregulars -0.549±0.181  dsales -2.405±1.999  dmargin -211±100  dfinalRatio -0.005±0.013
guarantee       dgain 33±14  dreached 0.007±0.013  dwin -0.016±0.008  ddeaths 0.097±0.067  dregulars 0.569±0.187  dsales 4.779±1.872  dmargin 446±94  dfinalRatio 0.001±0.012
hazardBoard     dgain -7±14  dreached -0.010±0.013  dwin -0.010±0.008  ddeaths 0.096±0.070  dregulars 0.068±0.194  dsales 0.576±1.950  dmargin -39±93  dfinalRatio -0.010±0.012
medicine        dgain 5±10  dreached 0.007±0.012  dwin -0.006±0.008  ddeaths -0.066±0.052  dregulars 0.026±0.132  dsales 0.297±1.282  dmargin 9±66  dfinalRatio 0.005±0.011
fridge          dgain -3±13  dreached 0.006±0.013  dwin -0.009±0.008  ddeaths 0.091±0.062  dregulars -0.042±0.169  dsales 0.311±1.757  dmargin -18±87  dfinalRatio 0.002±0.012
kitchen         dgain 56±14  dreached 0.058±0.013  dwin 0.013±0.009  ddeaths -0.455±0.077  dregulars 0.576±0.199  dsales 5.743±1.926  dmargin 399±95  dfinalRatio 0.055±0.013
board           dgain 84±14  dreached 0.022±0.013  dwin 0.017±0.009  ddeaths 0.340±0.066  dregulars 1.230±0.191  dsales 17.304±1.936  dmargin 762±97  dfinalRatio 0.027±0.013
rookieBoard     dgain 43±15  dreached 0.014±0.013  dwin -0.011±0.008  ddeaths 0.120±0.070  dregulars 0.256±0.200  dsales 7.767±2.094  dmargin 404±100  dfinalRatio 0.003±0.012
memberBundle    dgain 43±10  dreached 0.010±0.012  dwin -0.009±0.008  ddeaths 0.075±0.042  dregulars 0.789±0.127  dsales 5.292±1.116  dmargin 536±67  dfinalRatio 0.006±0.011
groupFlyer      dgain 97±16  dreached 0.025±0.014  dwin 0.007±0.009  ddeaths 0.434±0.065  dregulars 1.100±0.199  dsales 18.987±2.097  dmargin 705±106  dfinalRatio 0.023±0.013
premiumMember   dgain 22±9  dreached 0.000±0.011  dwin -0.014±0.008  ddeaths 0.059±0.039  dregulars 0.606±0.115  dsales 3.479±1.032  dmargin 283±58  dfinalRatio -0.005±0.011
returnPoints    dgain 220±15  dreached 0.079±0.015  dwin 0.017±0.009  ddeaths 0.365±0.062  dregulars 3.001±0.165  dsales 31.905±1.876  dmargin 2316±104  dfinalRatio 0.068±0.014
coldcase        dgain 24±15  dreached 0.014±0.013  dwin 0.014±0.009  ddeaths -0.031±0.076  dregulars 0.176±0.205  dsales 2.210±2.068  dmargin 224±103  dfinalRatio 0.019±0.013
supplyCert      dgain 54±13  dreached 0.032±0.013  dwin 0.002±0.009  ddeaths 0.112±0.064  dregulars 0.500±0.169  dsales 9.341±1.723  dmargin 203±85  dfinalRatio 0.026±0.013
expeditionMeal  dgain 103±14  dreached 0.106±0.014  dwin 0.070±0.011  ddeaths -0.564±0.070  dregulars 0.888±0.177  dsales 11.035±1.780  dmargin 473±89  dfinalRatio 0.118±0.015
dawnBulk        dgain 45±15  dreached 0.035±0.014  dwin 0.016±0.009  ddeaths -0.057±0.072  dregulars 0.476±0.206  dsales 6.138±2.066  dmargin 305±102  dfinalRatio 0.037±0.013
lifetime        dgain 62±11  dreached 0.038±0.013  dwin 0.014±0.009  ddeaths 0.020±0.043  dregulars 1.046±0.135  dsales 6.423±1.173  dmargin 687±70  dfinalRatio 0.036±0.012
royalCert       dgain 55±15  dreached 0.011±0.014  dwin 0.000±0.009  ddeaths 0.362±0.066  dregulars -0.637±0.174  dsales 8.526±2.077  dmargin 597±104  dfinalRatio 0.009±0.013
logisticsHQ     dgain 147±15  dreached 0.078±0.015  dwin 0.016±0.009  ddeaths 0.226±0.067  dregulars 2.218±0.205  dsales 26.597±2.003  dmargin 2489±111  dfinalRatio 0.068±0.014
expeditionCert  dgain 114±15  dreached 0.054±0.014  dwin 0.004±0.009  ddeaths 0.198±0.065  dregulars 1.815±0.206  dsales 18.270±1.924  dmargin 946±97  dfinalRatio 0.043±0.013
fresh24         dgain -26±16  dreached 0.029±0.014  dwin 0.022±0.010  ddeaths -1.209±0.090  dregulars -0.499±0.215  dsales -14.703±2.167  dmargin -1013±97  dfinalRatio 0.034±0.014
warehouse       dgain 0±0  dreached 0.000±0.000  dwin 0.000±0.000  ddeaths 0.000±0.000  dregulars 0.000±0.000  dsales 0.000±0.000  dmargin 0±0  dfinalRatio 0.000±0.000
hub             dgain 130±17  dreached 0.022±0.013  dwin 0.024±0.010  ddeaths 0.309±0.064  dregulars 2.325±0.238  dsales 26.404±2.268  dmargin 1492±124  dfinalRatio 0.034±0.014
terminal        dgain 81±16  dreached 0.047±0.014  dwin 0.033±0.010  ddeaths -0.047±0.072  dregulars 0.708±0.197  dsales 12.058±2.095  dmargin 496±104  dfinalRatio 0.054±0.014
delivery        dgain 39±14  dreached 0.016±0.013  dwin -0.003±0.009  ddeaths -0.011±0.073  dregulars 0.343±0.192  dsales 5.659±1.957  dmargin 163±95  dfinalRatio 0.012±0.013
efficiency      dgain 79±13  dreached 0.022±0.013  dwin -0.002±0.008  ddeaths 0.468±0.062  dregulars 0.893±0.178  dsales 15.074±1.786  dmargin 406±87  dfinalRatio 0.016±0.012
